method,sf,epsilon,n_wdr,seed,obj,solve_time,total_duration,satisfied_rate
EIFICA,1.0,0.03,30,200,45091.89972059186,2.5563530921936035,4.242233991622925,0.8146
EIFICA,1.0,0.03,30,0,48271.525741972335,2.558974266052246,4.245045900344849,0.9074
EIFICA,1.0,0.03,30,100,38881.19014927733,2.5602447986602783,4.252671718597412,0.4706
EIFICA,1.0,0.03,30,300,41703.936424841944,2.569378614425659,4.290696859359741,0.9368
ExactLHS,1.0,0.03,30,0,48273.60485972561,4.866201877593994,6.5583579540252686,0.9618
ExactLHS,1.0,0.03,30,300,41713.07070132857,4.891456365585327,6.592958688735962,0.9496
ExactLHS,1.0,0.03,30,100,38885.555909812865,4.957698822021484,6.666220188140869,0.952
ExactLHS,1.0,0.03,30,200,45104.93632503647,5.0051429271698,6.716504335403442,0.8546
EIFICA,1.0,0.03,30,400,42747.62292049268,1.7159059047698975,2.8615617752075195,0.7592
EIFICA,1.0,0.03,30,500,42371.004531498584,1.7106099128723145,2.8387110233306885,0.4644
ExactLHS,1.0,0.03,30,400,42758.34292467406,3.985123634338379,5.133802652359009,0.9212
EIFICA,1.0,0.03,30,600,38885.90795359437,1.6932556629180908,2.818504810333252,0.633
ExactLHS,1.0,0.03,30,500,42374.306612863234,4.044202089309692,5.209017992019653,0.928
EIFICA,1.0,0.03,30,700,47546.91125423427,1.7541191577911377,2.910344123840332,0.975
EIFICA,1.0,0.03,30,800,40483.799197992514,1.8531250953674316,2.976447343826294,0.5714
ExactLHS,1.0,0.03,30,600,38895.91125088942,4.086142063140869,5.209295034408569,0.9086
ExactLHS,1.0,0.03,30,700,47548.72551380779,4.146494626998901,5.300658464431763,0.9808
EIFICA,1.0,0.03,30,900,38709.96987364559,1.7393765449523926,2.882014274597168,0.9068
ExactLHS,1.0,0.03,30,800,40504.53455767185,4.074575424194336,5.196925401687622,0.8884
EIFICA,1.0,0.03,60,0,48272.2997567359,2.562718391418457,3.725876808166504,0.9528
EIFICA,1.0,0.03,60,100,38884.11055755114,2.5277767181396484,3.6506054401397705,0.966
ExactLHS,1.0,0.03,30,900,38727.173800793105,4.073468208312988,5.1937665939331055,0.9088
EIFICA,1.0,0.03,60,200,45146.856848657364,2.5739989280700684,3.7270286083221436,0.9766
EIFICA,1.0,0.03,60,300,41710.444278450406,2.469597578048706,3.735487222671509,0.9786
EIFICA,1.0,0.03,60,400,42750.99106168197,2.680837392807007,3.8084609508514404,0.761
EIFICA,1.0,0.03,60,500,42377.75993649339,2.529430627822876,3.817633867263794,0.4756
EIFICA,1.0,0.03,60,600,38904.34214641497,2.573916435241699,3.7202584743499756,0.8808
EIFICA,1.0,0.03,60,700,47550.17612209681,2.82218337059021,3.9866602420806885,0.9822
ExactLHS,1.0,0.03,60,500,42428.149596263334,41.905813455581665,43.03111982345581,0.9702
ExactLHS,1.0,0.03,60,100,38928.108639370694,51.43154978752136,52.581860065460205,0.9906
EIFICA,1.0,0.03,60,800,40523.3226887855,2.5737617015838623,4.456754684448242,0.921
ExactLHS,1.0,0.03,60,400,42789.06419538681,52.64761471748352,53.91814827919006,0.9578
EIFICA,1.0,0.03,60,900,38735.35273056209,2.660419464111328,3.832495927810669,0.9152
EIFICA,1.0,0.03,90,0,48272.489336915765,3.726309299468994,4.887058258056641,0.9566
ExactLHS,1.0,0.03,60,300,42599.00745830091,61.7106499671936,62.98185086250305,0.9976
ExactLHS,1.0,0.03,60,0,49213.49838570945,72.11398553848267,73.27252769470215,0.9964
EIFICA,1.0,0.03,90,100,38893.04230033503,3.7159922122955322,5.424500942230225,0.9668
EIFICA,1.0,0.03,90,200,45147.778957471804,3.9643967151641846,5.152574300765991,0.978
ExactLHS,1.0,0.03,60,700,47571.27149987069,70.21743249893188,71.38036060333252,0.9928
EIFICA,1.0,0.03,90,300,41710.44427842262,3.625319480895996,5.42361044883728,0.9786
ExactLHS,1.0,0.03,60,900,38787.50801248138,36.70275330543518,38.41775155067444,0.9548
ExactLHS,1.0,0.03,60,200,45182.57643799044,100.87659955024719,102.02203345298767,0.9908
EIFICA,1.0,0.03,90,400,42761.70432215244,3.912609100341797,5.169464588165283,0.9392
EIFICA,1.0,0.03,90,500,42383.0364490761,3.4850125312805176,5.202049255371094,0.4734
ExactLHS,1.0,0.03,60,600,38943.73124787998,102.61567115783691,103.78303813934326,0.9712
EIFICA,1.0,0.03,90,600,38919.631993776275,3.8605167865753174,5.756017684936523,0.9336
ExactLHS,1.0,0.03,60,800,40585.29322713621,65.42058730125427,67.41503357887268,0.991
EIFICA,1.0,0.03,90,700,47552.09686116874,3.7419164180755615,4.934408664703369,0.9846
ExactLHS,1.0,0.03,90,300,41788.5082737893,66.141432762146,67.3545150756836,0.9894
EIFICA,1.0,0.03,90,800,40540.87505744537,3.9806792736053467,5.87385892868042,0.9066
ExactLHS,1.0,0.03,90,200,45206.176159242204,89.95814633369446,91.4041211605072,0.9916
EIFICA,1.0,0.03,90,900,38736.7661616916,3.7041738033294678,5.4353790283203125,0.9434
ExactLHS,1.0,0.03,90,500,42470.118721470215,68.90420770645142,70.0857081413269,0.9862
EIFICA,1.0,0.03,120,0,48273.92470841993,5.2756593227386475,7.115371942520142,0.9722
ExactLHS,1.0,0.03,90,600,38996.416991089594,71.76145005226135,72.92401099205017,0.9954
ExactLHS,1.0,0.03,90,700,47593.60255269907,65.26372742652893,66.59946727752686,0.9986
EIFICA,1.0,0.03,120,100,38894.22052396129,4.998021364212036,6.6862804889678955,0.9786
ExactLHS,1.0,0.03,90,400,42818.5259679505,101.66554045677185,103.02659010887146,0.9808
EIFICA,1.0,0.03,120,200,45147.77895590967,4.851975202560425,6.034326553344727,0.978
EIFICA,1.0,0.03,120,300,41713.03721991978,4.852585315704346,6.282720565795898,0.9802
ExactLHS,1.0,0.03,90,800,40643.135642609224,64.81571173667908,65.98936581611633,0.9952
ExactLHS,1.0,0.03,90,0,48332.729176071436,173.26829957962036,174.47650241851807,0.987
ExactLHS,1.0,0.03,90,100,38980.73988454102,167.57064080238342,169.49514150619507,0.9948
EIFICA,1.0,0.03,120,400,42768.499710023505,5.425957918167114,7.3560802936553955,0.9648
EIFICA,1.0,0.03,120,500,42415.469669705715,4.3687708377838135,5.535847425460815,0.976
EIFICA,1.0,0.03,120,600,38919.63193263039,4.808722972869873,6.067331790924072,0.9336
ExactLHS,1.0,0.03,120,300,41815.405770686055,49.649434089660645,50.887593030929565,0.998
EIFICA,1.0,0.03,120,700,47556.20831394887,4.79211163520813,5.996713876724243,0.992
ExactLHS,1.0,0.03,90,900,38818.97104759924,96.7303831577301,97.92504549026489,0.988
EIFICA,1.0,0.03,120,800,40540.96542060283,5.204108476638794,7.005263328552246,0.9118
ExactLHS,1.0,0.03,120,100,39017.42557927397,115.52174115180969,117.24029278755188,0.9984
EIFICA,1.0,0.03,120,900,38738.508961055675,5.14280891418457,6.3918023109436035,0.9522
ExactLHS,1.0,0.03,120,0,48355.32031497518,143.81834745407104,145.01179909706116,0.9944
EIFICA,1.0,0.06,30,0,47911.34853298185,2.372394323348999,4.206726789474487,0.9152
ExactLHS,1.0,0.06,30,0,48358.741363881534,10.75252389907837,12.03573727607727,0.9596
EIFICA,1.0,0.06,30,100,38395.83002941196,2.396076202392578,3.642932415008545,0.6192
ExactLHS,1.0,0.03,120,600,39020.617767713076,121.90113973617554,123.08659195899963,0.9938
ExactLHS,1.0,0.06,30,100,38400.48738304074,20.07780909538269,21.356191158294678,0.9296
EIFICA,1.0,0.06,30,200,44622.74304484348,2.4262404441833496,3.637234687805176,0.7768
EIFICA,1.0,0.06,30,300,41376.94632700912,2.3605382442474365,3.5513503551483154,0.9152
ExactLHS,1.0,0.06,30,200,44628.48349106957,13.714168787002563,15.12056040763855,0.8224
ExactLHS,1.0,0.03,120,800,40674.773983896775,109.50889921188354,110.72657918930054,0.9946
ExactLHS,1.0,0.06,30,300,41785.15721604197,8.983413934707642,10.32503628730774,0.9218
EIFICA,1.0,0.06,30,400,42240.287842238744,2.5002832412719727,3.758852481842041,0.7314
EIFICA,1.0,0.06,30,500,42039.74023926197,2.5461132526397705,4.387647867202759,0.4688
EIFICA,1.0,0.06,30,600,38415.423093422185,2.349665403366089,3.5796101093292236,0.7102
ExactLHS,1.0,0.06,30,500,42457.74271107483,9.650483846664429,10.929757595062256,0.935
EIFICA,1.0,0.06,30,700,47146.85114759749,2.5291597843170166,3.725928783416748,0.9652
ExactLHS,1.0,0.06,30,400,42246.874138382445,23.002171516418457,24.162768363952637,0.8914
EIFICA,1.0,0.06,30,800,40053.28414387933,2.4502673149108887,3.654658079147339,0.8406
ExactLHS,1.0,0.06,30,600,38420.1902369222,19.203761339187622,20.419726848602295,0.8718
ExactLHS,1.0,0.06,30,700,47645.43953156506,14.707293510437012,15.8862144947052,0.9748
EIFICA,1.0,0.06,30,900,38397.71210245599,2.362459897994995,3.737286329269409,0.7254
ExactLHS,1.0,0.03,120,700,47941.94905956729,158.2944576740265,159.47866487503052,0.9998
EIFICA,1.0,0.06,60,0,47911.95710270513,3.5646214485168457,4.704960823059082,0.9478
EIFICA,1.0,0.06,60,100,38398.680547475786,3.6103715896606445,4.910299301147461,0.961
ExactLHS,1.0,0.06,30,900,38803.77738960868,12.118590116500854,13.316559076309204,0.9122
ExactLHS,1.0,0.06,30,800,40062.334418121834,18.40919017791748,19.62657618522644,0.8602
EIFICA,1.0,0.06,60,200,44655.226971317694,3.5080103874206543,4.6944639682769775,0.9676
EIFICA,1.0,0.06,60,300,41381.858843766175,3.913771867752075,5.235974550247192,0.9652
ExactLHS,1.0,0.03,120,200,45246.416420007205,243.20002937316895,244.96605682373047,0.9988
EIFICA,1.0,0.06,60,400,42243.92933485521,3.9529881477355957,5.158383846282959,0.7972
ExactLHS,1.0,0.06,60,100,38426.52816892232,23.09935760498047,24.24728298187256,0.9704
EIFICA,1.0,0.06,60,500,42045.15246443231,4.074786186218262,5.896319389343262,0.8302
ExactLHS,1.0,0.06,60,400,42276.09052377361,22.80353307723999,23.997963905334473,0.926
EIFICA,1.0,0.06,60,600,38424.46510834861,4.214885950088501,5.451629877090454,0.921
ExactLHS,1.0,0.06,60,300,41396.46098780463,39.32845902442932,40.48910403251648,0.9742
ExactLHS,1.0,0.03,120,900,38845.71550628821,171.7617039680481,173.12679839134216,0.9966
ExactLHS,1.0,0.06,60,500,42063.7962981975,23.155039072036743,24.444751739501953,0.945
EIFICA,1.0,0.06,60,700,47149.83928516056,3.9262845516204834,5.050137281417847,0.9716
EIFICA,1.0,0.06,60,800,40077.137144708286,3.980323314666748,5.811390399932861,0.917
EIFICA,1.0,0.06,60,900,38407.29685452413,4.137336254119873,5.377621412277222,0.9146
ExactLHS,1.0,0.06,60,600,38444.12323665229,23.508397817611694,24.742026805877686,0.94
EIFICA,1.0,0.06,90,0,47911.9571026014,6.552661180496216,7.966246128082275,0.9478
ExactLHS,1.0,0.06,60,200,44867.1111194357,78.78514981269836,80.15317606925964,0.9674
EIFICA,1.0,0.06,90,100,38405.77121161868,3.0783917903900146,4.298985958099365,0.9568
ExactLHS,1.0,0.06,60,700,47670.13544781979,31.472447395324707,33.22408390045166,0.988
EIFICA,1.0,0.06,90,200,44655.642827055446,2.9430718421936035,4.111271858215332,0.9676
ExactLHS,1.0,0.06,60,0,47921.09473289675,99.19763350486755,100.9446427822113,0.9586
ExactLHS,1.0,0.06,60,800,40291.998294026525,36.444841623306274,37.57156038284302,0.9692
EIFICA,1.0,0.06,90,300,41381.85884541414,5.839021444320679,7.058225154876709,0.9652
EIFICA,1.0,0.06,90,400,42251.85899822261,6.0370094776153564,7.1522908210754395,0.935
ExactLHS,1.0,0.03,120,500,42529.908662350535,317.2793860435486,318.5024743080139,0.9984
ExactLHS,1.0,0.06,60,900,38557.24181975341,56.98929309844971,58.2442421913147,0.8986
EIFICA,1.0,0.06,90,500,42048.56426381141,3.0568487644195557,4.856313705444336,0.9192
EIFICA,1.0,0.06,90,600,38429.37332093145,3.095205307006836,4.317523241043091,0.9548
ExactLHS,1.0,0.06,90,300,41502.49329912586,60.23876237869263,61.35300803184509,0.9892
EIFICA,1.0,0.06,90,700,47151.19537267964,6.417388439178467,7.682555198669434,0.9776
ExactLHS,1.0,0.06,90,0,47937.349547717065,117.94567537307739,119.16601610183716,0.9626
ExactLHS,1.0,0.06,90,400,42305.3668165164,94.1899766921997,95.36559557914734,0.9654
EIFICA,1.0,0.06,90,800,40092.6605477152,3.130260944366455,4.379655599594116,0.9708
EIFICA,1.0,0.06,90,900,38407.92216865232,8.097394943237305,9.304159164428711,0.9432
ExactLHS,1.0,0.06,90,500,42084.130155227074,86.0199728012085,87.90917086601257,0.9318
ExactLHS,1.0,0.06,90,600,38482.90416754926,86.46579813957214,87.66778421401978,0.981
EIFICA,1.0,0.06,120,0,47912.15665658175,3.263113260269165,4.478153467178345,0.9622
EIFICA,1.0,0.06,120,100,38406.92997428403,3.148843288421631,4.503175258636475,0.977
ExactLHS,1.0,0.06,90,100,38580.76361020913,150.77646136283875,151.98760628700256,0.985
EIFICA,1.0,0.06,120,200,44655.64282483833,3.4498367309570312,5.281331300735474,0.9676
ExactLHS,1.0,0.06,90,700,47286.47552771623,84.52688932418823,85.67496919631958,0.993
EIFICA,1.0,0.06,120,300,41383.19948891197,3.3141086101531982,4.7985312938690186,0.974
ExactLHS,1.0,0.06,90,200,44824.285056070985,170.3892948627472,171.62292432785034,0.9876
ExactLHS,1.0,0.06,90,900,38537.95383742699,57.06979966163635,58.25018548965454,0.974
EIFICA,1.0,0.06,120,400,42257.94674378276,3.366950035095215,5.115378379821777,0.944
EIFICA,1.0,0.06,120,500,42071.15168178182,3.1856637001037598,4.357461929321289,0.9794
ExactLHS,1.0,0.06,120,300,41440.89556903536,51.452672243118286,52.807631492614746,0.9902
EIFICA,1.0,0.06,120,600,38429.37331348198,3.360560655593872,5.105897426605225,0.9548
ExactLHS,1.0,0.06,120,400,42347.99577478839,47.70285177230835,49.09539866447449,0.9868
EIFICA,1.0,0.06,120,700,47152.57877900179,3.3888347148895264,5.209435701370239,0.986
ExactLHS,1.0,0.06,90,800,40269.84770635072,125.0984365940094,126.6232635974884,0.9816
EIFICA,1.0,0.06,120,800,40092.773613596255,3.4648489952087402,5.279327869415283,0.9716
ExactLHS,1.0,0.06,120,600,38509.92239932979,49.01881432533264,50.19803762435913,0.9886
EIFICA,1.0,0.06,120,900,38409.15154327876,3.308781862258911,4.709930181503296,0.9578
ExactLHS,1.0,0.06,120,800,40206.55928361748,49.94169020652771,51.208900690078735,0.9888
EIFICA,1.5,0.03,30,0,72165.50921115794,2.1663966178894043,4.070155382156372,0.9234
ExactLHS,1.5,0.03,30,0,72167.3912837431,4.671795606613159,5.858035326004028,0.9604
EIFICA,1.5,0.03,30,100,57985.87456851921,2.1408071517944336,3.3880484104156494,0.861
ExactLHS,1.5,0.03,30,100,57996.77723691933,4.679471254348755,5.917710065841675,0.9374
EIFICA,1.5,0.03,30,200,67325.88664285124,2.1503782272338867,3.5945396423339844,0.7904
ExactLHS,1.5,0.03,30,200,67342.81635507863,4.686505079269409,5.960726261138916,0.833
EIFICA,1.5,0.03,30,300,62378.37291440673,2.1951088905334473,3.3906383514404297,0.9272
ExactLHS,1.5,0.03,30,300,62384.02215804095,4.663311958312988,5.8601298332214355,0.9326
EIFICA,1.5,0.03,30,400,63743.497789749745,2.1097354888916016,3.3425889015197754,0.7848
ExactLHS,1.5,0.03,30,400,63752.760598208915,4.507201433181763,5.736268520355225,0.9098
EIFICA,1.5,0.03,30,500,63368.49163983241,2.157308340072632,3.5376293659210205,0.7916
ExactLHS,1.0,0.06,120,100,38501.58165853605,217.2961390018463,218.4365336894989,0.9918
ExactLHS,1.5,0.03,30,500,63369.875129511835,4.5688605308532715,5.7906715869903564,0.9108
EIFICA,1.5,0.03,30,600,58013.75012033606,2.1486592292785645,3.9520962238311768,0.711
ExactLHS,1.5,0.03,30,600,58021.67565283789,4.675910711288452,5.87389063835144,0.8718
EIFICA,1.5,0.03,30,700,71045.91009381623,2.078493595123291,3.290600061416626,0.9724
ExactLHS,1.5,0.03,30,700,71046.12119355674,4.447668790817261,5.840451717376709,0.9712
EIFICA,1.5,0.03,30,800,60415.047701146315,2.2597813606262207,3.4577181339263916,0.8412
EIFICA,1.5,0.03,30,900,57880.973820279076,2.2001192569732666,3.4177136421203613,0.8988
ExactLHS,1.5,0.03,30,800,60429.87184802474,4.555340766906738,5.918454170227051,0.877
ExactLHS,1.5,0.03,30,900,57893.843339328996,4.516363143920898,5.7525599002838135,0.899
EIFICA,1.5,0.03,60,0,72166.07235511759,4.191143989562988,5.373415231704712,0.9538
ExactLHS,1.0,0.06,120,700,47304.61124211829,142.7992763519287,143.98737502098083,0.9966
EIFICA,1.5,0.03,60,100,57987.51293382847,3.9649155139923096,5.289120197296143,0.9694
EIFICA,1.5,0.03,60,200,67393.49240851257,3.9685604572296143,5.132909297943115,0.9724
ExactLHS,1.0,0.06,120,0,48238.34848423574,285.13954281806946,286.8976700305939,0.9892
EIFICA,1.5,0.03,60,300,62383.27175886881,3.8026623725891113,5.038905620574951,0.8738
ExactLHS,1.5,0.03,60,0,72193.76401000145,46.67025566101074,48.04791712760925,0.9736
ExactLHS,1.0,0.06,120,200,44939.800155541074,274.10939955711365,275.34243059158325,0.9948
EIFICA,1.5,0.03,60,400,63750.04988803448,4.145917654037476,5.912268400192261,0.855
ExactLHS,1.5,0.03,60,100,58037.53331396981,50.52815508842468,52.30133318901062,0.9762
EIFICA,1.5,0.03,60,500,63377.88506724052,4.254960298538208,5.502809047698975,0.469
ExactLHS,1.0,0.06,120,900,38620.94290182029,164.44496512413025,165.65214562416077,0.99
EIFICA,1.5,0.03,60,600,58027.358568508185,4.530315399169922,5.750114679336548,0.884
EIFICA,1.5,0.03,60,700,71050.3454572143,4.743179082870483,5.983932971954346,0.9844
ExactLHS,1.5,0.03,60,200,67423.86347689923,72.02572727203369,73.3481171131134,0.9856
EIFICA,1.5,0.03,60,800,60454.90965231406,3.949688196182251,5.70277738571167,0.8374
ExactLHS,1.0,0.06,120,500,42206.81350188754,297.5506489276886,298.9217965602875,0.9932
ExactLHS,1.5,0.03,60,400,65051.327358124814,54.3271050453186,56.14273381233215,0.977
EIFICA,1.5,0.03,60,900,57904.42860857779,4.256728649139404,6.0392374992370605,0.8686
ExactLHS,1.5,0.03,60,500,64312.944943562856,55.04711055755615,56.19767475128174,0.9856
ExactLHS,1.5,0.03,60,600,58063.92703709508,47.18139600753784,49.12598538398743,0.9504
EIFICA,1.5,0.03,90,0,72166.0723550345,8.458156824111938,9.634009838104248,0.9538
ExactLHS,1.5,0.03,60,700,71077.64624779657,50.253122091293335,51.64923357963562,0.9872
EIFICA,1.5,0.03,90,100,57998.66100271996,8.913349628448486,10.127962112426758,0.9716
EIFICA,1.5,0.03,90,200,67394.29440374787,9.097551822662354,10.314184188842773,0.9742
ExactLHS,1.5,0.03,60,800,60529.4639177504,42.25565481185913,43.50686955451965,0.9782
EIFICA,1.5,0.03,90,300,62383.27174832745,7.500149965286255,8.696689367294312,0.8738
ExactLHS,1.5,0.03,60,900,57950.5441436263,34.12803339958191,35.39797592163086,0.9428
EIFICA,1.5,0.03,90,400,63760.40631053131,8.097890377044678,9.323428869247437,0.938
EIFICA,1.5,0.03,90,500,63385.78893399103,7.7968974113464355,9.166247606277466,0.482
ExactLHS,1.5,0.03,90,300,62890.76730357209,58.449134826660156,59.64571571350098,0.9968
EIFICA,1.5,0.03,90,600,58037.4285740242,8.423538446426392,10.139760494232178,0.8894
ExactLHS,1.5,0.03,60,300,62424.91071957311,178.8732476234436,180.06780219078064,0.986
ExactLHS,1.5,0.03,90,500,63907.416397470704,67.9037983417511,69.14355373382568,0.9882
ExactLHS,1.5,0.03,90,400,63844.87585120697,87.41881537437439,88.62152409553528,0.9782
EIFICA,1.5,0.03,90,700,71052.59707650206,7.217843532562256,8.40130877494812,0.991
EIFICA,1.5,0.03,90,800,60478.89591542519,8.041752576828003,9.197164058685303,0.808
EIFICA,1.5,0.03,90,900,57905.44276688919,8.643545389175415,9.764336109161377,0.9406
ExactLHS,1.5,0.03,90,200,67468.28546225298,128.85056066513062,130.16689109802246,0.9894
EIFICA,1.5,0.03,120,0,72166.30023644227,13.593034744262695,15.33946180343628,0.9678
ExactLHS,1.5,0.03,90,0,72221.51342707925,167.2198781967163,168.3916618824005,0.9806
ExactLHS,1.5,0.03,90,600,58128.0062353592,83.65982270240784,84.84221816062927,0.9884
EIFICA,1.5,0.03,120,100,58000.02392620835,13.415714263916016,15.186464786529541,0.98
ExactLHS,1.5,0.03,90,700,71115.03156445692,76.06482172012329,77.85085964202881,0.9932
EIFICA,1.5,0.03,120,200,67394.29439466487,13.011528015136719,14.187960863113403,0.9742
ExactLHS,1.5,0.03,90,800,60603.724913926366,84.67805314064026,85.82412481307983,0.9822
EIFICA,1.5,0.03,120,300,62385.608521582966,11.171502113342285,12.560247659683228,0.9468
ExactLHS,1.5,0.03,90,900,58407.850299107486,73.43382048606873,74.75651431083679,0.9838
EIFICA,1.5,0.03,120,400,63768.12007043388,13.614128112792969,14.77614974975586,0.9434
EIFICA,1.5,0.03,120,500,63424.681244110885,11.702362537384033,12.868663787841797,0.9612
ExactLHS,1.5,0.03,120,0,72550.74768148585,85.02401471138,86.2280433177948,0.9904
EIFICA,1.5,0.03,120,600,58037.42857929298,14.965448379516602,16.700859546661377,0.8894
ExactLHS,1.5,0.03,120,400,63906.035879625604,58.98820090293884,60.282049894332886,0.9886
EIFICA,1.5,0.03,120,700,71054.60176257788,12.428150415420532,13.582908153533936,0.9902
ExactLHS,1.5,0.03,120,300,62773.21930971149,102.49342632293701,103.70925092697144,0.9978
EIFICA,1.5,0.03,120,800,60479.03963717357,14.324951171875,15.66045093536377,0.8152
ExactLHS,1.5,0.03,120,200,67521.01778229112,167.0124146938324,168.18632793426514,0.9938
ExactLHS,1.5,0.03,120,600,58170.38005588579,102.8090546131134,104.01441717147827,0.9928
ExactLHS,1.5,0.03,120,500,63837.35995092255,132.04336071014404,133.29486775398254,0.9978
EIFICA,1.5,0.06,30,0,71802.37914442239,2.7703073024749756,4.570716619491577,0.9444
ExactLHS,1.5,0.03,120,800,60659.1533806347,52.677791595458984,53.99419331550598,0.993
EIFICA,1.5,0.03,120,900,57907.07966231987,13.697336196899414,14.879095077514648,0.9386
ExactLHS,1.5,0.03,120,700,71181.20341900409,93.85723614692688,95.15553450584412,0.998
EIFICA,1.5,0.06,30,100,57488.205571681305,2.7418203353881836,4.194197654724121,0.6052
EIFICA,1.5,0.06,30,200,66845.64155543543,2.6488447189331055,3.8960530757904053,0.7796
